Account Name,Type,Phone,Website,Billing City,Billing State/Province,Billing Country,Industry,Description
Royal Bazaar Pvt Ltd 1,Customer - Channel,9877379514,https://royalbazaar1.com,Pune,Maharashtra,India,Retail,Consumer electronics retail customer
Value Enterprises Pvt Ltd 2,Customer - Channel,9863218097,https://valueenterprises2.com,Pune,Maharashtra,India,Retail,Retail customer for Databricks retail demo
Smart Bazaar Pvt Ltd 3,Customer - Direct,9820645605,https://smartbazaar3.com,Hyderabad,Telangana,India,Retail,Retail customer for Databricks retail demo
Fresh Stores Pvt Ltd 4,Customer - Channel,9888096624,https://freshstores4.com,Kolkata,West Bengal,India,Retail,Wholesale retail chain customer
Global Traders Pvt Ltd 5,Customer - Direct,9872633574,https://globaltraders5.com,Chennai,Tamil Nadu,India,Retail,Regional supermarket customer
Smart Outlet Pvt Ltd 6,Customer - Channel,9879563375,https://smartoutlet6.com,Jaipur,Rajasthan,India,Retail,Regional supermarket customer
Prime Mart Pvt Ltd 7,Customer - Channel,9881607285,https://primemart7.com,Lucknow,Uttar Pradesh,India,Retail,Fashion and lifestyle retail chain
Metro Bazaar Pvt Ltd 8,Customer - Direct,9888396125,https://metrobazaar8.com,Kolkata,West Bengal,India,Retail,Retail customer for Databricks retail demo
Fresh Bazaar Pvt Ltd 9,Customer - Direct,9850386097,https://freshbazaar9.com,Hyderabad,Telangana,India,Retail,Regional supermarket customer
Fresh Bazaar Pvt Ltd 10,Customer - Channel,9877856853,https://freshbazaar10.com,Mumbai,Maharashtra,India,Retail,Regional supermarket customer
Value Mart Pvt Ltd 11,Customer - Direct,9822561061,https://valuemart11.com,Mumbai,Maharashtra,India,Retail,Wholesale retail chain customer
Metro Shop Pvt Ltd 12,Customer - Channel,9811259492,https://metroshop12.com,Chennai,Tamil Nadu,India,Retail,Consumer electronics retail customer
Global Retail Pvt Ltd 13,Customer - Direct,9869818228,https://globalretail13.com,Delhi,Delhi,India,Retail,Consumer electronics retail customer
Fresh Mart Pvt Ltd 14,Customer - Direct,9886774871,https://freshmart14.com,Ahmedabad,Gujarat,India,Retail,Retail customer for Databricks retail demo
Global Enterprises Pvt Ltd 15,Customer - Direct,9830089874,https://globalenterprises15.com,Jaipur,Rajasthan,India,Retail,Fashion and lifestyle retail chain
Urban Mart Pvt Ltd 16,Customer - Direct,9854567341,https://urbanmart16.com,Chennai,Tamil Nadu,India,Retail,Retail customer for Databricks retail demo
Global Enterprises Pvt Ltd 17,Customer - Direct,9850199855,https://globalenterprises17.com,Mumbai,Maharashtra,India,Retail,Retail customer for Databricks retail demo
Metro Stores Pvt Ltd 18,Customer - Channel,9829926296,https://metrostores18.com,Kolkata,West Bengal,India,Retail,Consumer electronics retail customer
Elite Wholesale Pvt Ltd 19,Customer - Channel,9875597544,https://elitewholesale19.com,Lucknow,Uttar Pradesh,India,Retail,Wholesale retail chain customer
Global Mart Pvt Ltd 20,Customer - Direct,9815106432,https://globalmart20.com,Kolkata,West Bengal,India,Retail,Regional supermarket customer
Metro Enterprises Pvt Ltd 21,Customer - Channel,9819455949,https://metroenterprises21.com,Jaipur,Rajasthan,India,Retail,Retail customer for Databricks retail demo
Elite Enterprises Pvt Ltd 22,Customer - Channel,9850978828,https://eliteenterprises22.com,Lucknow,Uttar Pradesh,India,Retail,Wholesale retail chain customer
Modern Outlet Pvt Ltd 23,Customer - Direct,9888771993,https://modernoutlet23.com,Mumbai,Maharashtra,India,Retail,Fashion and lifestyle retail chain
Mega Stores Pvt Ltd 24,Customer - Direct,9875057389,https://megastores24.com,Pune,Maharashtra,India,Retail,Retail customer for Databricks retail demo
Urban Wholesale Pvt Ltd 25,Customer - Channel,9844608320,https://urbanwholesale25.com,Hyderabad,Telangana,India,Retail,Fashion and lifestyle retail chain
Fresh Supermarket Pvt Ltd 26,Customer - Channel,9857767271,https://freshsupermarket26.com,Chennai,Tamil Nadu,India,Retail,Consumer electronics retail customer
Smart Retail Pvt Ltd 27,Customer - Channel,9868198735,https://smartretail27.com,Kolkata,West Bengal,India,Retail,Wholesale retail chain customer
Prime Enterprises Pvt Ltd 28,Customer - Direct,9897647043,https://primeenterprises28.com,Delhi,Delhi,India,Retail,Regional supermarket customer
Value Wholesale Pvt Ltd 29,Customer - Direct,9851327957,https://valuewholesale29.com,Chennai,Tamil Nadu,India,Retail,Wholesale retail chain customer
Smart Traders Pvt Ltd 30,Customer - Channel,9831871417,https://smarttraders30.com,Delhi,Delhi,India,Retail,Wholesale retail chain customer
Metro Shop Pvt Ltd 31,Customer - Direct,9833653258,https://metroshop31.com,Ahmedabad,Gujarat,India,Retail,Wholesale retail chain customer
Modern Supermarket Pvt Ltd 32,Customer - Direct,9828850027,https://modernsupermarket32.com,Pune,Maharashtra,India,Retail,Consumer electronics retail customer
Value Mart Pvt Ltd 33,Customer - Channel,9868246074,https://valuemart33.com,Chennai,Tamil Nadu,India,Retail,Fashion and lifestyle retail chain
Modern Bazaar Pvt Ltd 34,Customer - Direct,9823713280,https://modernbazaar34.com,Bangalore,Karnataka,India,Retail,Consumer electronics retail customer
Quick Supermarket Pvt Ltd 35,Customer - Direct,9856049952,https://quicksupermarket35.com,Ahmedabad,Gujarat,India,Retail,Retail customer for Databricks retail demo
Smart Mart Pvt Ltd 36,Customer - Channel,9875772110,https://smartmart36.com,Delhi,Delhi,India,Retail,Retail customer for Databricks retail demo
Royal Retail Pvt Ltd 37,Customer - Channel,9868944889,https://royalretail37.com,Pune,Maharashtra,India,Retail,Retail customer for Databricks retail demo
Value Bazaar Pvt Ltd 38,Customer - Direct,9825291624,https://valuebazaar38.com,Bangalore,Karnataka,India,Retail,Regional supermarket customer
Elite Bazaar Pvt Ltd 39,Customer - Channel,9823416872,https://elitebazaar39.com,Kolkata,West Bengal,India,Retail,Retail customer for Databricks retail demo
Modern Retail Pvt Ltd 40,Customer - Channel,9895761829,https://modernretail40.com,Jaipur,Rajasthan,India,Retail,Wholesale retail chain customer
Modern Retail Pvt Ltd 41,Customer - Channel,9833652340,https://modernretail41.com,Pune,Maharashtra,India,Retail,Retail customer for Databricks retail demo
Elite Supermarket Pvt Ltd 42,Customer - Channel,9853475162,https://elitesupermarket42.com,Bangalore,Karnataka,India,Retail,Regional supermarket customer
Royal Retail Pvt Ltd 43,Customer - Direct,9896619727,https://royalretail43.com,Lucknow,Uttar Pradesh,India,Retail,Retail customer for Databricks retail demo
Prime Stores Pvt Ltd 44,Customer - Channel,9828549449,https://primestores44.com,Jaipur,Rajasthan,India,Retail,Retail customer for Databricks retail demo
Urban Wholesale Pvt Ltd 45,Customer - Channel,9839213062,https://urbanwholesale45.com,Delhi,Delhi,India,Retail,Wholesale retail chain customer
Modern Supermarket Pvt Ltd 46,Customer - Channel,9862269941,https://modernsupermarket46.com,Jaipur,Rajasthan,India,Retail,Regional supermarket customer
Prime Supermarket Pvt Ltd 47,Customer - Channel,9892529949,https://primesupermarket47.com,Pune,Maharashtra,India,Retail,Consumer electronics retail customer
Urban Bazaar Pvt Ltd 48,Customer - Channel,9855079392,https://urbanbazaar48.com,Mumbai,Maharashtra,India,Retail,Wholesale retail chain customer
Global Enterprises Pvt Ltd 49,Customer - Channel,9876516221,https://globalenterprises49.com,Kolkata,West Bengal,India,Retail,Consumer electronics retail customer
Smart Outlet Pvt Ltd 50,Customer - Channel,9846181180,https://smartoutlet50.com,Pune,Maharashtra,India,Retail,Consumer electronics retail customer
