Opportunity Name,Stage,Close Date,Amount,Type,Lead Source,Description
Fresh Mobile Order 1,Qualification,2026-04-24,130994,Existing Customer - Replacement,Trade Show,Retail electronics purchase order
Elite Accessories Order 2,Qualification,2026-10-17,284433,Existing Customer - Replacement,Partner Referral,Store expansion procurement order
Urban Mobile Order 3,Qualification,2026-10-22,429010,New Customer,Partner Referral,Store expansion procurement order
Value Fashion Order 4,Qualification,2026-12-28,153828,Existing Customer - Upgrade,Email Campaign,Bulk wholesale inventory purchase
Quick Electronics Order 5,Qualification,2026-03-18,254171,Existing Customer - Upgrade,Web,Corporate retail supply contract
Smart Groceries Order 6,Negotiation/Review,2026-12-18,456315,Existing Customer - Upgrade,Partner Referral,Bulk wholesale inventory purchase
Urban Furniture Order 7,Closed Won,2026-02-17,103142,Existing Customer - Replacement,Web,Bulk wholesale inventory purchase
Urban Groceries Order 8,Needs Analysis,2026-04-13,29972,New Customer,Partner Referral,Bulk wholesale inventory purchase
Global Electronics Order 9,Closed Won,2026-08-11,177462,Existing Customer - Replacement,Email Campaign,Consumer appliance bulk order
Mega Groceries Order 10,Prospecting,2026-09-20,174421,Existing Customer - Replacement,Trade Show,Fashion retail seasonal order
Royal Electronics Order 11,Needs Analysis,2026-10-22,82213,New Customer,Social Media,Fashion retail seasonal order
Value Accessories Order 12,Prospecting,2026-04-29,416370,Existing Customer - Replacement,Partner Referral,Fashion retail seasonal order
Elite Accessories Order 13,Closed Lost,2026-05-05,171218,New Customer,Email Campaign,Retail electronics purchase order
Elite Mobile Order 14,Negotiation/Review,2026-02-01,199191,New Customer,Phone Inquiry,Bulk wholesale inventory purchase
Fresh Appliances Order 15,Negotiation/Review,2026-09-06,415548,New Customer,Trade Show,Fashion retail seasonal order
Smart Lifestyle Order 16,Closed Won,2026-02-22,445897,Existing Customer - Replacement,Social Media,Fashion retail seasonal order
Modern Lifestyle Order 17,Closed Won,2026-05-16,161083,Existing Customer - Replacement,Trade Show,Retail electronics purchase order
Modern Lifestyle Order 18,Closed Lost,2026-02-04,445548,Existing Customer - Upgrade,Social Media,Consumer appliance bulk order
Prime Fashion Order 19,Closed Lost,2026-04-27,493577,Existing Customer - Replacement,Email Campaign,Corporate retail supply contract
Modern Accessories Order 20,Negotiation/Review,2026-11-02,434656,Existing Customer - Upgrade,Web,Retail electronics purchase order
Metro Electronics Order 21,Proposal/Price Quote,2026-07-02,303288,Existing Customer - Upgrade,Social Media,Bulk wholesale inventory purchase
Quick Appliances Order 22,Closed Won,2026-12-21,320364,Existing Customer - Upgrade,Trade Show,Fashion retail seasonal order
Royal Mobile Order 23,Needs Analysis,2026-04-25,431163,Existing Customer - Upgrade,Web,Store expansion procurement order
Metro Groceries Order 24,Closed Lost,2026-03-28,25957,Existing Customer - Upgrade,Email Campaign,Consumer appliance bulk order
Value Groceries Order 25,Negotiation/Review,2026-05-08,178431,New Customer,Partner Referral,Bulk wholesale inventory purchase
Mega Mobile Order 26,Needs Analysis,2026-03-02,496147,Existing Customer - Replacement,Email Campaign,Corporate retail supply contract
Quick Electronics Order 27,Needs Analysis,2026-06-20,295483,Existing Customer - Upgrade,Web,Consumer appliance bulk order
Elite Accessories Order 28,Qualification,2026-10-08,355304,New Customer,Social Media,Store expansion procurement order
Quick Accessories Order 29,Qualification,2026-11-12,340396,New Customer,Phone Inquiry,Bulk wholesale inventory purchase
Metro Fashion Order 30,Qualification,2026-10-09,95685,Existing Customer - Replacement,Web,Retail electronics purchase order
Fresh Mobile Order 31,Needs Analysis,2026-10-09,340930,Existing Customer - Upgrade,Trade Show,Store expansion procurement order
Royal Lifestyle Order 32,Qualification,2026-05-20,340907,New Customer,Trade Show,Bulk wholesale inventory purchase
Prime Groceries Order 33,Proposal/Price Quote,2026-10-08,428830,New Customer,Trade Show,Store expansion procurement order
Quick Groceries Order 34,Prospecting,2026-03-19,-5000,New Customer,Trade Show,Bulk wholesale inventory purchase
Urban Furniture Order 35,Negotiation/Review,2026-12-07,201980,Existing Customer - Replacement,Phone Inquiry,Retail electronics purchase order
Metro Fashion Order 36,Negotiation/Review,2026-04-01,150544,Existing Customer - Replacement,Partner Referral,Store expansion procurement order
Urban Appliances Order 37,Needs Analysis,2026-09-21,393869,New Customer,Trade Show,Bulk wholesale inventory purchase
Metro Mobile Order 38,Qualification,2026-11-14,491597,Existing Customer - Replacement,Social Media,Store expansion procurement order
Fresh Groceries Order 39,Qualification,2026-06-16,186950,Existing Customer - Upgrade,Email Campaign,Consumer appliance bulk order
Mega Fashion Order 40,Proposal/Price Quote,2026-11-27,240917,New Customer,Partner Referral,Corporate retail supply contract
Quick Fashion Order 41,Closed Won,2026-04-16,410099,Existing Customer - Replacement,Trade Show,Bulk wholesale inventory purchase
Urban Mobile Order 42,Closed Won,2026-08-14,466272,Existing Customer - Replacement,Phone Inquiry,Store expansion procurement order
Metro Electronics Order 43,Needs Analysis,2026-09-20,240260,Existing Customer - Replacement,Web,Consumer appliance bulk order
Metro Lifestyle Order 44,Prospecting,2026-01-04,249020,Existing Customer - Upgrade,Phone Inquiry,Bulk wholesale inventory purchase
Value Groceries Order 45,Closed Won,2026-07-16,92975,New Customer,Phone Inquiry,Bulk wholesale inventory purchase
Urban Lifestyle Order 46,Negotiation/Review,2026-12-22,249307,Existing Customer - Replacement,Email Campaign,Corporate retail supply contract
Quick Mobile Order 47,Closed Won,2026-11-27,199437,New Customer,Phone Inquiry,Store expansion procurement order
Quick Furniture Order 48,Prospecting,2026-10-25,155664,Existing Customer - Replacement,Phone Inquiry,Fashion retail seasonal order
Mega Appliances Order 49,Proposal/Price Quote,2026-03-10,413798,New Customer,Web,Bulk wholesale inventory purchase
Fresh Accessories Order 50,Needs Analysis,2026-01-31,460018,New Customer,Partner Referral,Consumer appliance bulk order
Global Appliances Order 51,Proposal/Price Quote,2026-04-11,281686,Existing Customer - Replacement,Email Campaign,Retail electronics purchase order
Elite Electronics Order 52,Negotiation/Review,2026-02-18,39862,Existing Customer - Upgrade,Partner Referral,Consumer appliance bulk order
Fresh Furniture Order 53,Proposal/Price Quote,2026-09-01,371222,Existing Customer - Replacement,Email Campaign,Corporate retail supply contract
Elite Furniture Order 54,Negotiation/Review,2026-02-09,91153,Existing Customer - Replacement,Email Campaign,Store expansion procurement order
Metro Lifestyle Order 55,Closed Lost,2026-09-09,68517,Existing Customer - Replacement,Web,Corporate retail supply contract
Global Fashion Order 56,Qualification,2026-10-16,416818,New Customer,Email Campaign,Fashion retail seasonal order
Royal Furniture Order 57,Proposal/Price Quote,2026-01-19,382370,Existing Customer - Replacement,Trade Show,Consumer appliance bulk order
Modern Lifestyle Order 58,Prospecting,2026-06-13,113652,Existing Customer - Replacement,Phone Inquiry,Consumer appliance bulk order
Royal Groceries Order 59,Closed Won,2026-06-28,440834,New Customer,Email Campaign,Store expansion procurement order
Quick Furniture Order 60,Closed Lost,2026-10-25,122916,New Customer,Web,Bulk wholesale inventory purchase
Value Lifestyle Order 61,Closed Won,2026-07-17,169990,Existing Customer - Replacement,Email Campaign,Store expansion procurement order
Urban Electronics Order 62,Proposal/Price Quote,2026-10-26,127978,Existing Customer - Upgrade,Trade Show,Fashion retail seasonal order
Smart Furniture Order 63,Closed Lost,2026-01-07,53973,Existing Customer - Upgrade,Partner Referral,Retail electronics purchase order
Smart Mobile Order 64,Needs Analysis,2026-05-25,248547,Existing Customer - Replacement,Web,Consumer appliance bulk order
Fresh Electronics Order 65,Prospecting,2026-02-21,460518,Existing Customer - Replacement,Email Campaign,Fashion retail seasonal order
Smart Electronics Order 66,Negotiation/Review,2026-01-01,484632,Existing Customer - Replacement,Email Campaign,Consumer appliance bulk order
Metro Electronics Order 67,Closed Won,2026-06-14,336570,Existing Customer - Replacement,Partner Referral,Retail electronics purchase order
Value Lifestyle Order 68,Negotiation/Review,2026-11-17,173035,New Customer,Trade Show,Corporate retail supply contract
Global Mobile Order 69,Negotiation/Review,2026-04-13,252452,New Customer,Web,Corporate retail supply contract
Value Furniture Order 70,Negotiation/Review,2026-01-12,315847,New Customer,Partner Referral,Store expansion procurement order
Elite Fashion Order 71,Prospecting,2026-08-11,176213,Existing Customer - Upgrade,Web,Consumer appliance bulk order
Royal Electronics Order 72,Proposal/Price Quote,2026-04-20,427059,New Customer,Trade Show,Consumer appliance bulk order
Elite Appliances Order 73,Negotiation/Review,2026-08-22,227481,New Customer,Social Media,Retail electronics purchase order
Urban Lifestyle Order 74,Closed Won,2026-10-07,355125,Existing Customer - Upgrade,Social Media,Consumer appliance bulk order
Fresh Electronics Order 75,Proposal/Price Quote,2026-11-05,134424,Existing Customer - Upgrade,Email Campaign,Corporate retail supply contract
Quick Groceries Order 76,Closed Lost,2026-08-09,150600,Existing Customer - Replacement,Trade Show,Bulk wholesale inventory purchase
Urban Fashion Order 77,Proposal/Price Quote,2026-06-26,265138,New Customer,Email Campaign,Bulk wholesale inventory purchase
Prime Groceries Order 78,Qualification,2026-12-25,137576,Existing Customer - Upgrade,Web,Consumer appliance bulk order
Smart Fashion Order 79,Negotiation/Review,2026-08-18,228240,Existing Customer - Replacement,Trade Show,Consumer appliance bulk order
Smart Mobile Order 80,Qualification,2026-03-31,205867,Existing Customer - Replacement,Trade Show,Retail electronics purchase order
Value Mobile Order 81,Needs Analysis,2026-05-24,-5000,Existing Customer - Replacement,Email Campaign,Store expansion procurement order
Quick Appliances Order 82,Qualification,2026-08-17,99420,Existing Customer - Upgrade,Trade Show,Retail electronics purchase order
Elite Mobile Order 83,Closed Won,2026-08-23,470037,Existing Customer - Upgrade,Trade Show,Bulk wholesale inventory purchase
Royal Lifestyle Order 84,Prospecting,2026-07-05,126309,New Customer,Web,Bulk wholesale inventory purchase
Fresh Electronics Order 85,Closed Won,2026-12-04,-5000,Existing Customer - Replacement,Partner Referral,Consumer appliance bulk order
Elite Fashion Order 86,Prospecting,2026-04-24,496866,Existing Customer - Upgrade,Email Campaign,Fashion retail seasonal order
Urban Electronics Order 87,Proposal/Price Quote,2026-11-16,462077,Existing Customer - Upgrade,Web,Bulk wholesale inventory purchase
Global Appliances Order 88,Closed Won,2026-10-21,260926,Existing Customer - Replacement,Web,Store expansion procurement order
Mega Appliances Order 89,Proposal/Price Quote,2026-07-05,457303,Existing Customer - Replacement,Social Media,Consumer appliance bulk order
Prime Mobile Order 90,Qualification,2026-09-24,344816,New Customer,Partner Referral,Corporate retail supply contract
Quick Groceries Order 91,Negotiation/Review,2026-05-18,486005,Existing Customer - Replacement,Phone Inquiry,Retail electronics purchase order
Fresh Lifestyle Order 92,Needs Analysis,2026-06-03,147370,New Customer,Social Media,Fashion retail seasonal order
Modern Mobile Order 93,Proposal/Price Quote,2026-05-21,482103,New Customer,Phone Inquiry,Store expansion procurement order
Modern Mobile Order 94,Qualification,2026-10-18,89279,New Customer,Email Campaign,Store expansion procurement order
Value Fashion Order 95,Needs Analysis,2026-04-03,55711,Existing Customer - Replacement,Social Media,Store expansion procurement order
Elite Fashion Order 96,Needs Analysis,2026-10-27,220130,Existing Customer - Replacement,Trade Show,Store expansion procurement order
Quick Appliances Order 97,Negotiation/Review,2026-02-28,190243,Existing Customer - Upgrade,Email Campaign,Retail electronics purchase order
Value Electronics Order 98,Qualification,2026-05-07,324652,Existing Customer - Replacement,Phone Inquiry,Fashion retail seasonal order
Elite Lifestyle Order 99,Prospecting,2026-02-20,186215,New Customer,Social Media,Retail electronics purchase order
Royal Groceries Order 100,Proposal/Price Quote,2026-06-02,480148,Existing Customer - Upgrade,Phone Inquiry,Bulk wholesale inventory purchase
